,count,mean,std,min,25%,50%,75%,max
H_player_home,48590.0,5.883638608767236,2.261178609010028,0.0,4.0,6.0,7.0,15.0
R_player_home,48590.0,2.9602798929820953,2.0641572199266354,0.0,1.0,3.0,4.0,13.0
ER_player_home,48590.0,2.736242025108047,1.9882119717553812,0.0,1.0,2.0,4.0,12.0
BB_player_home,48590.0,1.9078205392055978,1.3874162738105627,0.0,1.0,2.0,3.0,10.0
SO_player_home,48590.0,4.603498662276189,2.548906290842615,0.0,3.0,4.0,6.0,20.0
HR_player_home,48590.0,0.7177608561432394,0.846990116305517,0.0,0.0,1.0,1.0,6.0
ERA_player_home,48590.0,4.358388763119926,2.1077310396610245,0.0,3.29,4.13,5.06,94.5
BF_player_home,48590.0,25.115044247787612,4.578333918058509,0.0,23.0,26.0,28.0,42.0
Pit_player_home,48588.0,94.86439038445707,16.699033151609463,1.0,88.0,97.0,106.0,150.0
Str_player_home,48588.0,60.22721659669054,11.789528063630078,0.0,54.0,62.0,68.0,98.0
Ctct_player_home,48587.0,35.25683824891432,7.7711683428868366,0.0,31.0,36.0,40.0,65.0
StS_player_home,48588.0,8.460340001646497,4.255275038952691,0.0,5.0,8.0,11.0,37.0
